日本語名,英語名
小林 洋平 ,Yohei Kobayashi 
山川 力優 ,Rikyu Yamakawa 
木村 星南 ,Sena Kimura 
小鍜治 悠太 ,Yuta Kokaji 
眞壁 照男 ,Teruo Makabe 
三上 正貴 ,Masataka Mikami 
原渕 修人 ,Shuto Harabuchi 
アンドリュー ・マカリオ ,Andrew Makalio 
日吉 健 ,Ken Hiyoshi 
酒木 凜平 ,Rinpei Sakaki 
橋本 大吾 ,Daigo Hashimoto 
森 太志 ,Futoshi Mori 
カラム ・マクドナルド ,Callum MacDonald 
マイケル ・ストーバーグ ,Michael Stolberg 
アサエリ ・ラウシー ,Asaeli Lausii 
ジェイコブ ・ピアス ,Jacob Pierce 
高城 勝一 ,Shoichi Takagi 
亀井 茜風 ,Senfu Kamei 
伊藤 鐘平 ,Shohei Ito 
木戸 大士郎 ,Taishiro Kido 
佐々木 剛 ,Takeshi Sasaki 
山本 浩輝 ,Hiroki Yamamoto 
シャノン ・フリゼル ,Shannon Frizell 
尹 礼温 ,Rye On Yoon 
アフ ・オフィナ ,Afu Ofeina 
リーチ マイケル ,Michael Leitch 
徳永 祥尭 ,Yoshitaka Tokunaga 
杉山 優平 ,Yuhei Sugiyama 
高橋 昴平 ,Kohei Takahashi 
小川 高廣 ,Takahiro Ogawa 
田中 元珠 ,Motoki Tanaka 
池戸 将太郎 ,Shotaro Ikedo 
松永 拓朗 ,Takuro Matsunaga 
リッチー ・モウンガ ,Richie Mounga 
ティージェイ ・クラーク ,Tjay Clarke 
ネタニ ・ヴァカヤリア ,Netani Vakayalia 
岡村 優太 ,Yuta Okamura 
金 秀隆 ,Kim Suryung 
ジョネ ・ナイカブラ ,Jone Naikabula 
桑山 淳生 ,Atsuki Kuwayama 
濱田 将暉 ,Masaki Hamada 
岩渕 誠 ,Makoto Iwafuchi 
石岡 玲英 ,Rei Ishioka 
池永 玄太郎 ,Gentaro Ikenaga 
セタ ・タマニバル ,Seta Tamanivalu 
眞野 泰地 ,Taichi Mano 
ロブ ・トンプソン ,Rob Thompson 
桑山 聖生 ,Toshiki Kuwayama 
豊島 翔平 ,Shohei Toyoshima 
マイケル ・コリンズ ,Michael Collins 
ステファーナス ・ドゥトイ ,Stephanus Du Toit 
