日本語名,英語名
三竹 康太 ,Kota Mitake 
パディー ・ライアン ,Paddy Ryan 
中村 公星 ,Kosei Nakamura 
大山 祥平 ,Shohei Oyama 
谷口 祐一郎 ,Yuichiro Taniguchi 
笹川 大五 ,Daigo Sasagawa 
千葉 太一 ,Taichi Chiba 
西 和磨 ,Kazuma Nishi 
津村 大志 ,Taishi Tsumura 
サミュエラ ・ワカヴァカ ,Samuel Waqabaca 
松原 結生 ,Yuui Matsubara 
足立 友哉 ,Tomoya Adachi 
李 淳弘 ,Soonhong Lee 
佐藤 康 ,Ko Sato 
武井 日向 ,Hinata Takei 
大西 将史 ,Masashi Onishi 
大内 真 ,Shin Ouchi 
ニック ・スーチョン ,Nic Souchon 
フィリックス ・カラプ ,Felix Kalapu 
岸 佑融 ,Yusuke Kishi 
マイケル ・アラダイス ,Michael Allardice 
ジョシュ ・グッドヒュー ,Josh Goodhue 
山本 秀 ,Shu Yamamoto 
ハリソン ・フォックス ,Harrison Fox 
ファカタヴァ タラウ侍 ,Talau Samurai Fakatava 
ロトアヘア ポヒヴァ大和 ,Pohiva Yamato Lotoahea 
山本 嶺二郎 ,Reijiro Yamamoto 
リアム ・ギル ,Liam Gill 
マクカラン ブロディ ,Brodi Mccurran 
山村 勝悟 ,Shogo Yamamura 
ファカタヴァ アマト ,Amato Fakatava 
松橋 周平 ,Shuhei Matsuhashi 
木原 音弥 ,Otoya Kihara 
TJ ・ペレナラ ,TJ Perenara 
南 昂伸 ,Takanobu Minami 
高橋 敏也 ,Toshiya Takahashi 
稲葉 聖馬 ,Seima Inaba 
中楠 一期 ,Ichigo Nakakusu 
堀米 航平 ,Kohei Horigome 
伊藤 耕太郎 ,Kotaro Ito 
秋濱 悠太 ,Yuta Akihama 
古賀 由教 ,Yoshiyuki Koga 
山村 知也 ,Tomoya Yamamura 
高本 とむ ,Tomu Takamoto 
ラメカ ・ポイヒピ ,Rameka Poihipi 
久木野 太一 ,Taichi Kugino 
PJ ・ラトゥ ,PJ Latu 
青木 拓己 ,Takumi Aoki 
シオペ ・タヴォ ,Siope Tavo 
池田 悠希 ,Yuki Ikeda 
西川 大輔 ,Daisuke Nishikawa 
栗原 由太 ,Yuta Kurihara 
礒田 凌平 ,Ryohei Isoda 
ラズロー ・ソード ,Larzlo Sword 
アイザック ・ルーカス ,Isaac Lucas 
メイン 平 ,Taira Main 
