日本語名,英語名
カウヴァカ ・カイヴェラタ ,Kauvaka Kaivelata 
前田 翔 ,Sho Maeda 
高尾 時流 ,Shigure Takao 
具 智元 ,Jiwon Gu 
渡邉 隆之 ,Takayuki Watanabe 
中島 イシレリ ,Isileli Nakajima 
山下 裕史 ,Hiroshi Yamashita 
森脇 光 ,Hikaru Moriwaki 
大下 貴志 ,Takashi Oshita 
富田 陸 ,Riku Tomita 
アッシュ ・ディクソン ,Ash Dixon 
シオネ ・シメ・マウ ,Sione Sime Mau 
宮内 慶大 ,Keita Miyauchi 
北出 卓也 ,Takuya Kitade 
松岡 賢太 ,Kenta Matsuoka 
ニール ・ハンセン ,Neil Hansen 
本橋 拓馬 ,Takuma Motohashi 
ジェラード ・カウリートゥイオティ ,Gerard Cowley-tuioti 
小瀧 尚弘 ,Naohiro Kotaki 
ワイサケ ・ララトゥブア ,Waisake Raratubua 
ブロディ ・レタリック ,Brodie Retallick 
カヴァイア ・タギヴェタウア ,Kavaia Tagivetaua 
ソロモネ ・フナキ ,Solomone Funaki 
ソセフォ ・ファカタヴァ ,Sosefo Fakatava 
福西 隼杜 ,Hayato Fukunishi 
前田 剛 ,Go Maeda 
橋本 皓 ,Hikaru Hashimoto 
今村 陽良 ,Takara Imamura 
ティエナン ・コストリー ,Tiennan Costley 
ヴィリー ・ポトヒエッター ,Willie Potgieter 
アーディ ・サベア ,Ardie Savea 
シオネ ・ポルテレ ,Sione Polutele 
上村 樹輝 ,Itsuki Kamimura 
中嶋 大希 ,Daiki Nakajima 
徳田 健太 ,Kenta Tokuda 
日和佐 篤 ,Atsushi Hiwasa 
ブリン ・ガットランド ,Bryn Gatland 
植田 和磨 ,Kazuma Ueda 
イノケ ・ブルア ,Inoke Burua 
杉本 崇馬 ,Soma Sugimoto 
アタアタ ・モエアキオラ ,Ataata Moeakiola 
濱野 隼大 ,Junta Hamano 
船曳 涼太 ,Ryota Funabiki 
ハリス マック ,Mac Harris 
タリ ・イオアサ ,Tali Ioasa 
タリロトゥ ・ファカトゥロロ ,Talilotu Fakatulolo 
マイケル ・リトル ,Michael Little 
ラファエレ ティモシー ,Timothy Lafaele 
アントン ・レイナートブラウン ,Anton Lienert-Brown 
大町 佳生 ,Yoshiki Omachi 
松永 貫汰 ,Kanta Matsunaga 
井関 信介 ,Shinsuke Iseki 
辻野 隼大 ,Hayata Tsujino 
李 承信 ,Seungsin Lee 
伊藤 大祐 ,Daisuke Ito 
上ノ坊 駿介 ,Shunsuke Uenobo 
